     Elem ID      Y Coord      Z Coord Max Principal
           1   1.4833e+02   1.3333e+00   1.4710e+00
           2   1.4867e+02   1.6667e+00   3.0368e+00
           3   1.4833e+02   2.3333e+00   5.7400e+00
           4   1.4867e+02   2.6667e+00   9.3413e+00
           5   1.4833e+02   3.3333e+00   9.8630e+00
           6   1.4867e+02   3.6667e+00   1.1020e+01
           7   1.4833e+02   4.3333e+00   1.1407e+01
           8   1.4867e+02   4.6667e+00   1.1019e+01
           9   1.4833e+02   5.3333e+00   1.1673e+01
          10   1.4867e+02   5.6667e+00   1.0400e+01
          11   1.4833e+02   6.3333e+00   1.1341e+01
          12   1.4867e+02   6.6667e+00   9.5494e+00
          13   1.4833e+02   7.3333e+00   1.0692e+01
          14   1.4867e+02   7.6667e+00   8.6760e+00
          15   1.4833e+02   8.3333e+00   9.8700e+00
          16   1.4867e+02   8.6667e+00   7.8808e+00
          17   1.4833e+02   9.3333e+00   8.9797e+00
          18   1.4867e+02   9.6667e+00   7.1988e+00
          19   1.4833e+02   1.0333e+01   8.1135e+00
          20   1.4867e+02   1.0667e+01   6.6252e+00
          21   1.4833e+02   1.1333e+01   7.3328e+00
          22   1.4867e+02   1.1667e+01   6.1393e+00
          23   1.4833e+02   1.2333e+01   6.6591e+00
          24   1.4867e+02   1.2667e+01   5.7229e+00
          25   1.4833e+02   1.3333e+01   6.0887e+00
          26   1.4867e+02   1.3667e+01   5.3657e+00
          27   1.4833e+02   1.4333e+01   5.6071e+00
          28   1.4867e+02   1.4667e+01   5.0644e+00
          29   1.4833e+02   1.5333e+01   5.2062e+00
          30   1.4867e+02   1.5667e+01   4.8313e+00
          31   1.4833e+02   1.6333e+01   4.8517e+00
          32   1.4867e+02   1.6667e+01   4.5658e+00
          33   1.4833e+02   1.7333e+01   4.4267e+00
          34   1.4867e+02   1.7667e+01   4.6832e+00
          35   1.4833e+02   1.8333e+01   5.2712e+00
          36   1.4867e+02   1.8667e+01   4.2980e+00
          37   1.4733e+02   1.3333e+00   1.4812e+00
          38   1.4767e+02   1.6667e+00   0.0000e+00
          39   1.4733e+02   2.3333e+00   2.2584e+00
          40   1.4767e+02   2.6667e+00   2.8570e+00
          41   1.4733e+02   3.3333e+00   5.4514e+00
          42   1.4767e+02   3.6667e+00   7.8115e+00
          43   1.4733e+02   4.3333e+00   9.1457e+00
          44   1.4767e+02   4.6667e+00   1.0344e+01
          45   1.4733e+02   5.3333e+00   1.1276e+01
          46   1.4767e+02   5.6667e+00   1.1087e+01
          47   1.4733e+02   6.3333e+00   1.2094e+01
          48   1.4767e+02   6.6667e+00   1.0977e+01
